CategoryId,category
shop,find-places
600-6900-0096,places-cat
9567,poi
shop,find-places
600-6900-0000,places-cat
9567,poi
food-drink,find-places
600-6300-0066,places-cat
5400,poi
Restaurant,find-places
100-1000-0000,places-cat
,
